i,word,freq,ipa,xsampa
20641,Isaya,4,"['i', 's', 'a', 'j', 'a']","['i', 's', 'a', 'j', 'a']"
20642,Isimu,4,"['i', 's', 'i', 'm', 'u']","['i', 's', 'i', 'm', 'u']"
20643,Islamic,4,"['i', 's', 'l', 'a', 'm', 'i', 'c']","['i', 's', 'l', 'a', 'm', 'i', 'c']"
20644,Ismailia,4,"['i', 's', 'm', 'a', 'i', 'l', 'i', 'a']","['i', 's', 'm', 'a', 'i', 'l', 'i', 'a']"
20645,Ithnashiri,4,"['i', 't', 'n', 'a', 'ʃ', 'i', 'ɾ', 'i']","['i', 't', 'n', 'a', 'S', 'i', '4', 'i']"
20646,Ivy,4,"['i', 'v', 'j']","['i', 'v', 'j']"
20692,KTN,4,"['k', 't', 'n']","['k', 't', 'n']"
20694,Kadhi,4,"['k', 'a', 'd', 'i']","['k', 'a', 'd', 'i']"
20695,Kadirio,4,"['k', 'a', 'd', 'i', 'ɾ', 'i', 'o']","['k', 'a', 'd', 'i', '4', 'i', 'o']"
20696,Kaliyaya,4,"['k', 'a', 'l', 'i', 'j', 'a', 'j', 'a']","['k', 'a', 'l', 'i', 'j', 'a', 'j', 'a']"
20697,Kamau,4,"['k', 'a', 'm', 'a', 'u']","['k', 'a', 'm', 'a', 'u']"
20698,Kamisheni,4,"['k', 'a', 'm', 'i', 'ʃ', 'e', 'n', 'i']","['k', 'a', 'm', 'i', 'S', 'e', 'n', 'i']"
20699,Kampaundi,4,"['k', 'a', 'm', 'p', 'a', 'u', 'n', 'd', 'i']","['k', 'a', 'm', 'p', 'a', 'u', 'n', 'd', 'i']"
20700,Kane,4,"['k', 'a', 'n', 'e']","['k', 'a', 'n', 'e']"
20701,Kanga,4,"['k', 'a', 'n', 'ɡ', 'a']","['k', 'a', 'n', 'g', 'a']"
20702,Kangi,4,"['k', 'a', 'n', 'ɡ', 'i']","['k', 'a', 'n', 'g', 'i']"
20705,Kanner,4,"['k', 'a', 'n', 'n', 'e', 'ɾ']","['k', 'a', 'n', 'n', 'e', '4']"
20706,Kanu,4,"['k', 'a', 'n', 'u']","['k', 'a', 'n', 'u']"
20707,Kanye,4,"['k', 'a', 'ɲ', 'e']","['k', 'a', 'J', 'e']"
20708,Karacahisar,4,"['k', 'a', 'ɾ', 'a', 'c', 'a', 'h', 'i', 's', 'a', 'ɾ']","['k', 'a', '4', 'a', 'c', 'a', 'h', 'i', 's', 'a', '4']"
20709,Karama,4,"['k', 'a', 'ɾ', 'a', 'm', 'a']","['k', 'a', '4', 'a', 'm', 'a']"
20710,Karoo,4,"['k', 'a', 'ɾ', 'o', 'o']","['k', 'a', '4', 'o', 'o']"
20711,Kasai,4,"['k', 'a', 's', 'a', 'i']","['k', 'a', 's', 'a', 'i']"
20712,Kasheba,4,"['k', 'a', 'ʃ', 'e', 'b', 'a']","['k', 'a', 'S', 'e', 'b', 'a']"
20713,Kasheshe,4,"['k', 'a', 'ʃ', 'e', 'ʃ', 'e']","['k', 'a', 'S', 'e', 'S', 'e']"
20714,Kasinoma,4,"['k', 'a', 's', 'i', 'n', 'o', 'm', 'a']","['k', 'a', 's', 'i', 'n', 'o', 'm', 'a']"
20715,Kasulu,4,"['k', 'a', 's', 'u', 'l', 'u']","['k', 'a', 's', 'u', 'l', 'u']"
20717,Katekisimu,4,"['k', 'a', 't', 'e', 'k', 'i', 's', 'i', 'm', 'u']","['k', 'a', 't', 'e', 'k', 'i', 's', 'i', 'm', 'u']"
20718,Katherine,4,"['k', 'a', 't', 'e', 'ɾ', 'i', 'n', 'e']","['k', 'a', 't', 'e', '4', 'i', 'n', 'e']"
20721,Ke,4,"['k', 'e']","['k', 'e']"
20722,Keating,4,"['k', 'e', 'a', 't', 'i', 'n', 'ɡ']","['k', 'e', 'a', 't', 'i', 'n', 'g']"
20723,Kebbi,4,"['k', 'e', 'b', 'b', 'i']","['k', 'e', 'b', 'b', 'i']"
20724,Kei,4,"['k', 'e', 'i']","['k', 'e', 'i']"
20725,Kemboi,4,"['k', 'e', 'm', 'b', 'o', 'i']","['k', 'e', 'm', 'b', 'o', 'i']"
20727,Kenny,4,"['k', 'e', 'n', 'ɲ']","['k', 'e', 'n', 'J']"
20729,Kete,4,"['k', 'e', 't', 'e']","['k', 'e', 't', 'e']"
20730,Kettering,4,"['k', 'e', 't', 't', 'e', 'ɾ', 'i', 'n', 'ɡ']","['k', 'e', 't', 't', 'e', '4', 'i', 'n', 'g']"
20731,Khawla,4,"['x', 'a', 'w', 'l', 'a']","['x', 'a', 'w', 'l', 'a']"
20732,Kiafghan,4,"['k', 'i', 'a', 'f', 'ɣ', 'a', 'n']","['k', 'i', 'a', 'f', 'G', 'a', 'n']"
20733,Kiamba,4,"['k', 'i', 'a', 'm', 'b', 'a']","['k', 'i', 'a', 'm', 'b', 'a']"
20734,Kianda,4,"['k', 'i', 'a', 'n', 'd', 'a']","['k', 'i', 'a', 'n', 'd', 'a']"
20735,Kiarai,4,"['k', 'i', 'a', 'ɾ', 'a', 'i']","['k', 'i', 'a', '4', 'a', 'i']"
20736,Kiatta,4,"['k', 'i', 'a', 't', 't', 'a']","['k', 'i', 'a', 't', 't', 'a']"
20738,Kibaka,4,"['k', 'i', 'b', 'a', 'k', 'a']","['k', 'i', 'b', 'a', 'k', 'a']"
20739,Kibalti,4,"['k', 'i', 'b', 'a', 'l', 't', 'i']","['k', 'i', 'b', 'a', 'l', 't', 'i']"
20740,Kibata,4,"['k', 'i', 'b', 'a', 't', 'a']","['k', 'i', 'b', 'a', 't', 'a']"
20741,Kibau,4,"['k', 'i', 'b', 'a', 'u']","['k', 'i', 'b', 'a', 'u']"
20742,Kibeli,4,"['k', 'i', 'b', 'e', 'l', 'i']","['k', 'i', 'b', 'e', 'l', 'i']"
20743,Kibete,4,"['k', 'i', 'b', 'e', 't', 'e']","['k', 'i', 'b', 'e', 't', 'e']"
20744,Kibeti,4,"['k', 'i', 'b', 'e', 't', 'i']","['k', 'i', 'b', 'e', 't', 'i']"
20745,Kibina,4,"['k', 'i', 'b', 'i', 'n', 'a']","['k', 'i', 'b', 'i', 'n', 'a']"
20746,Kibisaya,4,"['k', 'i', 'b', 'i', 's', 'a', 'j', 'a']","['k', 'i', 'b', 'i', 's', 'a', 'j', 'a']"
20747,Kibodya,4,"['k', 'i', 'b', 'o', 'd', 'j', 'a']","['k', 'i', 'b', 'o', 'd', 'j', 'a']"
20748,Kibofu,4,"['k', 'i', 'b', 'o', 'f', 'u']","['k', 'i', 'b', 'o', 'f', 'u']"
20750,Kibongo,4,"['k', 'i', 'b', 'o', 'n', 'ɡ', 'o']","['k', 'i', 'b', 'o', 'n', 'g', 'o']"
20751,Kibuang,4,"['k', 'i', 'b', 'u', 'a', 'n', 'ɡ']","['k', 'i', 'b', 'u', 'a', 'n', 'g']"
20752,Kiburmiki,4,"['k', 'i', 'b', 'u', 'ɾ', 'm', 'i', 'k', 'i']","['k', 'i', 'b', 'u', '4', 'm', 'i', 'k', 'i']"
