i,word,freq,ipa,xsampa
16945,Koyaanisqatsi,3,"['k', 'ə', 'y', 'a', 'a', 'n', 'i', 's', 'q', 'a', 't', 'ɕ']","['k', '@', 'y', 'a', 'a', 'n', 'i', 's', 'q', 'a', 't', 's\\']"
16946,Kozy,3,"['k', 'ə', 'z', 'y']","['k', '@', 'z', 'y']"
16955,Krajewo,3,"['k', 'r', 'a', 'd͡z', 'e', 'w', 'ə']","['k', 'r', 'a', 'dz', 'e', 'w', '@']"
16957,Krajno,3,"['k', 'r', 'a', 'd͡z', 'n', 'ə']","['k', 'r', 'a', 'dz', 'n', '@']"
16959,Krasna,3,"['k', 'r', 'a', 's', 'n', 'a']","['k', 'r', 'a', 's', 'n', 'a']"
16960,Kraszewice,3,"['k', 'r', 'a', 's', 'z', 'e', 'w', 'i', 'c', 'e']","['k', 'r', 'a', 's', 'z', 'e', 'w', 'i', 'c', 'e']"
16961,Kreisler,3,"['k', 'r', 'e', 'i', 's', 'l', 'e', 'r']","['k', 'r', 'e', 'i', 's', 'l', 'e', 'r']"
16962,Kriti,3,"['k', 'r', 'i', 't', 'i']","['k', 'r', 'i', 't', 'i']"
16964,Kromolin,3,"['k', 'r', 'ɔ', 'm', 'ə', 'l', 'i', 'n']","['k', 'r', 'O', 'm', '@', 'l', 'i', 'n']"
16967,Krzeszowice,3,"['k', 'r', 'z', 'e', 's', 'z', 'ə', 'w', 'i', 'c', 'e']","['k', 'r', 'z', 'e', 's', 'z', '@', 'w', 'i', 'c', 'e']"
16968,Krzewie,3,"['k', 'r', 'z', 'e', 'w', 'i', 'e']","['k', 'r', 'z', 'e', 'w', 'i', 'e']"
16969,Krzykosy,3,"['k', 'r', 'z', 'y', 'k', 'ə', 's', 'y']","['k', 'r', 'z', 'y', 'k', '@', 's', 'y']"
16970,Krzywcza,3,"['k', 'r', 'z', 'y', 'w', 'c', 'z', 'a']","['k', 'r', 'z', 'y', 'w', 'c', 'z', 'a']"
16974,Kuala,3,"['k', 'u̯', 'a', 'l', 'a']","['k', 'u_^', 'a', 'l', 'a']"
16975,Kubrick,3,"['k', 'u', 'b', 'r', 'i', 'c', 'k']","['k', 'u', 'b', 'r', 'i', 'c', 'k']"
16976,Kuhn,3,"['k', 'u', 'ʔ', 'n']","['k', 'u', '?', 'n']"
16979,Kuiper,3,"['k', 'u̯', 'i', 'p', 'e', 'r']","['k', 'u_^', 'i', 'p', 'e', 'r']"
16980,Kumamoto,3,"['k', 'u', 'm', 'a', 'm', 'ə', 't', 'ə']","['k', 'u', 'm', 'a', 'm', '@', 't', '@']"
16982,Kurland,3,"['k', 'u', 'r', 'l', 'a', 'n', 'd']","['k', 'u', 'r', 'l', 'a', 'n', 'd']"
16983,Kurosawa,3,"['k', 'u', 'r', 'ə', 's', 'a', 'w', 'a']","['k', 'u', 'r', '@', 's', 'a', 'w', 'a']"
