i,word,freq,ipa,xsampa
10743,Transit,13,"['t', 'z̩', 'ã', 's', 'i', 't']","['t', 'z=', 'a~', 's', 'i', 't']"
10748,en,13,"['ə', 'ɲ']","['@', 'J']"
10750,mi,13,"['m', 'i']","['m', 'i']"
10752,o,13,['o'],['o']
10753,sen,13,"['s', 'ə', 'ɲ']","['s', '@', 'J']"
11363,An,12,['ã'],['a~']
11376,Felis,12,"['f', 'e̞', 'l', 'i', 's']","['f', 'e_o', 'l', 'i', 's']"
11377,Felix,12,"['f', 'e̞', 'l', 'i', 'ɕ']","['f', 'e_o', 'l', 'i', 's\\']"
11378,Film,12,"['f', 'i', 'l', 'm']","['f', 'i', 'l', 'm']"
11381,Hermann,12,"['h', 'ə', 'ɻ', 'm', 'ã', 'n']","['h', '@', 'r\\`', 'm', 'a~', 'n']"
11383,Homo,12,"['h', 'o', 'm', 'o']","['h', 'o', 'm', 'o']"
11384,IEEE,12,"['i', 'e̞', 'e̞', 'e̞']","['i', 'e_o', 'e_o', 'e_o']"
11385,In,12,"['ɪ', 'ɲ']","['I', 'J']"
11387,Joe,12,"['t͡ɕ', 'ø']","['ts\\', '2']"
11393,Roy,12,"['z̩', 'o', 'y']","['z=', 'o', 'y']"
11397,Society,12,"['s', 'o', 'c', 'i', 'e̞', 't', 'y']","['s', 'o', 'c', 'i', 'e_o', 't', 'y']"
11399,Stanley,12,"['s', 't', 'ã', 'l', 'e̞', 'y']","['s', 't', 'a~', 'l', 'e_o', 'y']"
11413,los,12,"['l', 'o', 's']","['l', 'o', 's']"
11414,theory,12,"['tʰ', 'e̞', 'o', 'z̩', 'y']","['t_h', 'e_o', 'o', 'z=', 'y']"
12155,Eric,11,"['ə', 'ɻ', 'i', 'c']","['@', 'r\\`', 'i', 'c']"
12156,Fort,11,"['f', 'o', 'z̩', 't']","['f', 'o', 'z=', 't']"
12164,Johnny,11,"['t͡ɕ', 'o', 'h', 'n', 'ɲ']","['ts\\', 'o', 'h', 'n', 'J']"
12165,Jones,11,"['t͡ɕ', 'ʊ', 'ŋ', 'e̞', 's']","['ts\\', 'U', 'N', 'e_o', 's']"
12172,Michelle,11,"['m', 'i', 'c', 'h', 'e̞', 'l', 'l', 'e̞']","['m', 'i', 'c', 'h', 'e_o', 'l', 'l', 'e_o']"
12174,Neo,11,"['n', 'e̞', 'o']","['n', 'e_o', 'o']"
12175,Open,11,"['o', 'p', 'ə', 'ɲ']","['o', 'p', '@', 'J']"
12177,Pixel,11,"['p', 'i', 'ɕ', 'e̞', 'l']","['p', 'i', 's\\', 'e_o', 'l']"
12184,SNK,11,"['s', 'n', 'k']","['s', 'n', 'k']"
12185,Si,11,"['s', 'i']","['s', 'i']"
12186,Sports,11,"['s', 'p', 'o', 'z̩', 't͡s']","['s', 'p', 'o', 'z=', 'ts']"
12188,Street,11,"['s', 't', 'z̩', 'e̞', 'e̞', 't']","['s', 't', 'z=', 'e_o', 'e_o', 't']"
12190,T,11,['t'],['t']
12191,Time,11,"['t', 'i', 'm', 'e̞']","['t', 'i', 'm', 'e_o']"
13108,F1,10,['f'],['f']
13120,Ian,10,"['i̯', 'ã']","['i_^', 'a~']"
