i,word,freq,ipa,xsampa
222,kalena,1003,"['k', 'æ', 'l', 'e', 'n', 'æ']","['k', '{', 'l', 'e', 'n', '{']"
223,horay,998,"['h', 'ɔ', 'r', 'æ', 'j']","['h', 'O', 'r', '{', 'j']"
224,Dhinaca,989,"['ɖ', 'i', 'n', 'æ', 'ʕ', 'æ']","['d`', 'i', 'n', '{', '?\\', '{']"
225,waayo,987,"['w', 'æː', 'j', 'ɔ']","['w', '{:', 'j', 'O']"
226,intaa,985,"['i', 'n', 't', 'æː']","['i', 'n', 't', '{:']"
227,socday,981,"['s', 'ɔ', 'ʕ', 'd', 'æ', 'j']","['s', 'O', '?\\', 'd', '{', 'j']"
228,dhex,975,"['ɖ', 'e', 'ħ']","['d`', 'e', 'X\\']"
229,Cumar,973,"['ʕ', 'u', 'm', 'æ', 'r']","['?\\', 'u', 'm', '{', 'r']"
230,lahayn,969,"['l', 'æ', 'h', 'æ', 'j', 'n']","['l', '{', 'h', '{', 'j', 'n']"
231,lala,965,"['l', 'æ', 'l', 'æ']","['l', '{', 'l', '{']"
232,ururka,959,"['u', 'r', 'u', 'r', 'k', 'æ']","['u', 'r', 'u', 'r', 'k', '{']"
233,mas,955,"['m', 'æ', 's']","['m', '{', 's']"
234,qabtay,955,"['q', 'æ', 'b', 't', 'æ', 'j']","['q', '{', 'b', 't', '{', 'j']"
235,meesha,954,"['m', 'eː', 'ʃ', 'æ']","['m', 'e:', 'S', '{']"
236,ahaayeen,951,"['æ', 'h', 'æː', 'j', 'eː', 'n']","['{', 'h', '{:', 'j', 'e:', 'n']"
237,In,950,"['i', 'n']","['i', 'n']"
238,dhawaan,948,"['ɖ', 'æ', 'w', 'æː', 'n']","['d`', '{', 'w', '{:', 'n']"
239,jiro,947,"['d͡ʒ', 'i', 'r', 'ɔ']","['dZ', 'i', 'r', 'O']"
240,sare,947,"['s', 'æ', 'r', 'e']","['s', '{', 'r', 'e']"
241,dhintay,946,"['ɖ', 'i', 'n', 't', 'æ', 'j']","['d`', 'i', 'n', 't', '{', 'j']"
242,yimid,945,"['j', 'i', 'm', 'i', 'd']","['j', 'i', 'm', 'i', 'd']"
243,qaarkood,941,"['q', 'æː', 'r', 'k', 'ɔː', 'd']","['q', '{:', 'r', 'k', 'O:', 'd']"
244,Baarlamaanka,937,"['b', 'æː', 'r', 'l', 'æ', 'm', 'æː', 'n', 'k', 'æ']","['b', '{:', 'r', 'l', '{', 'm', '{:', 'n', 'k', '{']"
245,Garowe,937,"['ɡ', 'æ', 'r', 'ɔ', 'w', 'e']","['g', '{', 'r', 'O', 'w', 'e']"
246,daray,936,"['d', 'æ', 'r', 'æ', 'j']","['d', '{', 'r', '{', 'j']"
247,dalalka,930,"['d', 'æ', 'l', 'æ', 'l', 'k', 'æ']","['d', '{', 'l', '{', 'l', 'k', '{']"
248,hadii,930,"['h', 'æ', 'd', 'iː']","['h', '{', 'd', 'i:']"
249,shirka,927,"['ʃ', 'i', 'r', 'k', 'æ']","['S', 'i', 'r', 'k', '{']"
250,ahi,926,"['æ', 'h', 'i']","['{', 'h', 'i']"
251,jirta,926,"['d͡ʒ', 'i', 'r', 't', 'æ']","['dZ', 'i', 'r', 't', '{']"
252,karin,923,"['k', 'æ', 'r', 'i', 'n']","['k', '{', 'r', 'i', 'n']"
253,waxba,923,"['w', 'æ', 'ħ', 'b', 'æ']","['w', '{', 'X\\', 'b', '{']"
254,arrimaha,912,"['æ', 'r', 'r', 'i', 'm', 'æ', 'h', 'æ']","['{', 'r', 'r', 'i', 'm', '{', 'h', '{']"
255,dhinac,908,"['ɖ', 'i', 'n', 'æ', 'ʕ']","['d`', 'i', 'n', '{', '?\\']"
256,noqon,908,"['n', 'ɔ', 'q', 'ɔ', 'n']","['n', 'O', 'q', 'O', 'n']"
257,tilmaamay,908,"['t', 'i', 'l', 'm', 'æː', 'm', 'æ', 'j']","['t', 'i', 'l', 'm', '{:', 'm', '{', 'j']"
258,sidaa,896,"['s', 'i', 'd', 'æː']","['s', 'i', 'd', '{:']"
259,Nuur,888,"['n', 'uː', 'r']","['n', 'u:', 'r']"
260,dadkii,888,"['d', 'æ', 'd', 'k', 'iː']","['d', '{', 'd', 'k', 'i:']"
261,xusay,884,"['ħ', 'u', 's', 'æ', 'j']","['X\\', 'u', 's', '{', 'j']"
262,dhigay,878,"['ɖ', 'i', 'ɡ', 'æ', 'j']","['d`', 'i', 'g', '{', 'j']"
263,dhow,876,"['ɖ', 'ɔ', 'w']","['d`', 'O', 'w']"
264,dheer,872,"['ɖ', 'eː', 'r']","['d`', 'e:', 'r']"
265,Mareykanka,871,"['m', 'æ', 'r', 'e', 'j', 'k', 'æ', 'n', 'k', 'æ']","['m', '{', 'r', 'e', 'j', 'k', '{', 'n', 'k', '{']"
266,wanaagsan,870,"['w', 'æ', 'n', 'æː', 'ɡ', 's', 'æ', 'n']","['w', '{', 'n', '{:', 'g', 's', '{', 'n']"
267,baarlamaanka,865,"['b', 'æː', 'r', 'l', 'æ', 'm', 'æː', 'n', 'k', 'æ']","['b', '{:', 'r', 'l', '{', 'm', '{:', 'n', 'k', '{']"
268,aynu,861,"['æ', 'j', 'n', 'u']","['{', 'j', 'n', 'u']"
269,taasoo,861,"['t', 'æː', 's', 'ɔː']","['t', '{:', 's', 'O:']"
270,isu,859,"['i', 's', 'u']","['i', 's', 'u']"
271,Golaha,856,"['ɡ', 'ɔ', 'l', 'æ', 'h', 'æ']","['g', 'O', 'l', '{', 'h', '{']"
272,qaban,848,"['q', 'æ', 'b', 'æ', 'n']","['q', '{', 'b', '{', 'n']"
273,xoogan,848,"['ħ', 'ɔː', 'ɡ', 'æ', 'n']","['X\\', 'O:', 'g', '{', 'n']"
