i,word,freq,ipa,xsampa
23685,ยล,3,"['j', 'o', 'n']","['j', 'o', 'n']"
23687,ยส,3,"['j', 'o', 't']","['j', 'o', 't']"
23690,ยอดตาย,3,"['j', 'ɔː', 't', 't', 'aː', 'j']","['j', 'O:', 't', 't', 'a:', 'j']"
23700,ยอดฮิตสำหรับหญิงสาว,3,"['j', 'ɔː', 't', 'h', 'i', 't', 'a', 's', 'a', 'm', 'h', 'a', 'r', 'a', 'b', 'h', 'a', 'j', 'i', 'ŋ', 's', 'aː', 'w']","['j', 'O:', 't', 'h', 'i', 't', 'a', 's', 'a', 'm', 'h', 'a', 'r', 'a', 'b', 'h', 'a', 'j', 'i', 'N', 's', 'a:', 'w']"
23701,ยอดเงินทำบุญ,3,"['j', 'ɔː', 't', 'ŋ', 'ɤ', 'n', 'a', 'tʰ', 'a', 'm', 'b', 'u', 'j']","['j', 'O:', 't', 'N', '7', 'n', 'a', 't_h', 'a', 'm', 'b', 'u', 'j']"
23702,ยอดเมืองเจริญ,3,"['j', 'ɔː', 't', 'm', 'ɯː', 'a̯', 'ŋ', 'a', 't͡ɕ', 'eː', 'r', 'i', 'j']","['j', 'O:', 't', 'm', 'M:', 'a_^', 'N', 'a', 'ts\\', 'e:', 'r', 'i', 'j']"
23705,ยอน,3,"['j', 'ɔː', 'n']","['j', 'O:', 'n']"
23707,ยอมรับผลปะทะทำ,3,"['j', 'ɔː', 'm', 'r', 'a', 'b', 'o', 'p', 'l', 'a', 'p', 'a', 'tʰ', 'a', 'tʰ', 'a', 'm']","['j', 'O:', 'm', 'r', 'a', 'b', 'o', 'p', 'l', 'a', 'p', 'a', 't_h', 'a', 't_h', 'a', 'm']"
23708,ยอมรับสภาพ,3,"['j', 'ɔː', 'm', 'r', 'a', 'b', 'o', 't', 'pʰ', 'aː', 'p']","['j', 'O:', 'm', 'r', 'a', 'b', 'o', 't', 'p_h', 'a:', 'p']"
23712,ยอสซี,3,"['j', 'ɔː', 't', 's', 'iː']","['j', 'O:', 't', 's', 'i:']"
23713,ยะรัง,3,"['j', 'a', 'r', 'a', 'ŋ']","['j', 'a', 'r', 'a', 'N']"
23716,ยะใส,3,"['j', 'a', 's', 'a', 'j']","['j', 'a', 's', 'a', 'j']"
23720,ยังคงยึดหัวตาราง,3,"['j', 'a', 'ŋ', 'kʰ', 'a', 'ŋ', 'a', 'j', 'ɯ', 't', 'h', 'uː', 'a̯', 't', 'aː', 'r', 'aː', 'ŋ']","['j', 'a', 'N', 'k_h', 'a', 'N', 'a', 'j', 'M', 't', 'h', 'u:', 'a_^', 't', 'a:', 'r', 'a:', 'N']"
23728,ยังยอดนิยม,3,"['j', 'a', 'ŋ', 'j', 'ɔː', 'd', 'a', 'n', 'i', 'j', 'o', 'm']","['j', 'a', 'N', 'j', 'O:', 'd', 'a', 'n', 'i', 'j', 'o', 'm']"
23730,ยังหนัก,3,"['j', 'a', 'ŋ', 'h', 'a', 'n', 'a', 'k']","['j', 'a', 'N', 'h', 'a', 'n', 'a', 'k']"
23731,ยังหวัง,3,"['j', 'a', 'ŋ', 'h', 'a', 'w', 'a', 'ŋ']","['j', 'a', 'N', 'h', 'a', 'w', 'a', 'N']"
23732,ยังฮอต,3,"['j', 'a', 'ŋ', 'h', 'ɔː', 't']","['j', 'a', 'N', 'h', 'O:', 't']"
23733,ยังเครียด,3,"['j', 'a', 'ŋ', 'kʰ', 'eː', 'r', 'iː', 'j', 'o', 't']","['j', 'a', 'N', 'k_h', 'e:', 'r', 'i:', 'j', 'o', 't']"
23738,ยังเสียงแตก,3,"['j', 'a', 'ŋ', 's', 'iː', 'a̯', 'ŋ', 'a', 't', 'ɛː', 'k']","['j', 'a', 'N', 's', 'i:', 'a_^', 'N', 'a', 't', 'E:', 'k']"
23741,ยังแรง,3,"['j', 'a', 'ŋ', 'r', 'ɛː', 'ŋ']","['j', 'a', 'N', 'r', 'E:', 'N']"
23744,ยังไงเสีย,3,"['j', 'a', 'ŋ', 'ŋ', 'a', 'j', 's', 'iː', 'a̯']","['j', 'a', 'N', 'N', 'a', 'j', 's', 'i:', 'a_^']"
23762,ยันกฎหมาย,3,"['j', 'a', 'n', 'k', 'a', 'd', 'o', 'h', 'm', 'aː', 'j']","['j', 'a', 'n', 'k', 'a', 'd', 'o', 'h', 'm', 'a:', 'j']"
23765,ยันชายแดนปกติ,3,"['j', 'a', 'n', 't͡ɕʰ', 'aː', 'j', 'a', 'd', 'ɛː', 'n', 'p', 'a', 'k', 'a', 't', 'i', 'ʔ']","['j', 'a', 'n', 'ts\\_h', 'a:', 'j', 'a', 'd', 'E:', 'n', 'p', 'a', 'k', 'a', 't', 'i', '?']"
