i,word,freq,ipa,xsampa
10374,Web,152,"['u̯', 'ɤ', 'p']","['u_^', '7', 'p']"
10375,di,152,"['t', 'i']","['t', 'i']"
10434,EP,151,"['ɤ', 'pʰ']","['7', 'p_h']"
10435,Hong,151,"['x', 'ʊ', 'ŋ']","['x', 'U', 'N']"
10497,London,150,"['l', 'o', 'n', 't', 'o', 'n']","['l', 'o', 'n', 't', 'o', 'n']"
10543,ATP,149,"['a', 'tʰ', 'pʰ']","['a', 't_h', 'p_h']"
10544,Limited,149,"['l', 'i', 'm', 'i', 'tʰ', 'ɤ', 't']","['l', 'i', 'm', 'i', 't_h', '7', 't']"
10545,der,149,"['t', 'ɻ̩']","['t', 'r\\`=']"
10546,du,149,"['t', 'u']","['t', 'u']"
10547,m,149,['m'],['m']
10612,Ltd,148,"['l', 'tʰ', 't']","['l', 't_h', 't']"
10667,Mac,147,"['m', 'a', 't͡sʰ']","['m', 'a', 'ts_h']"
10668,May,147,"['m', 'a', 'i̯']","['m', 'a', 'i_^']"
10669,Office,147,"['o', 'f', 'f', 'i', 't͡sʰ', 'ɤ']","['o', 'f', 'f', 'i', 'ts_h', '7']"
10736,Apple,146,"['a', 'pʰ', 'pʰ', 'l', 'ɤ']","['a', 'p_h', 'p_h', 'l', '7']"
10737,Inc,146,"['i', 'n', 't͡sʰ']","['i', 'n', 'ts_h']"
10738,Java,146,"['t͡ɕ', 'a', 'v', 'a']","['ts\\', 'a', 'v', 'a']"
10739,RNA,146,"['ʐ', 'n', 'a']","['z`', 'n', 'a']"
10740,Road,146,"['ʐ', 'o', 'a', 't']","['z`', 'o', 'a', 't']"
10795,King,145,"['kʰ', 'i', 'ŋ']","['k_h', 'i', 'N']"
10796,On,145,"['o', 'n']","['o', 'n']"
10848,Microsoft,144,"['m', 'i', 't͡sʰ', 'ʐ', 'o', 's', 'o', 'f', 'tʰ']","['m', 'i', 'ts_h', 'z`', 'o', 's', 'o', 'f', 't_h']"
10905,API,143,"['a', 'pʰ', 'i']","['a', 'p_h', 'i']"
10906,Journal,143,"['t͡ɕ', 'ɤ', 'ʊ̯', 'ɻʷ', 'n', 'a', 'l']","['ts\\', '7', 'U_^', 'r\\`_w', 'n', 'a', 'l']"
10976,All,142,"['a', 'l', 'l']","['a', 'l', 'l']"
10977,Le,142,"['l', 'ɤ']","['l', '7']"
10978,Time,142,"['tʰ', 'i', 'm', 'ɤ']","['t_h', 'i', 'm', '7']"
11094,Association,140,"['a', 's', 's', 'o', 't͡sʰ', 'z̩', 'a', 'tʰ', 'i', 'o', 'n']","['a', 's', 's', 'o', 'ts_h', 'z=', 'a', 't_h', 'i', 'o', 'n']"
11095,Big,140,"['p', 'i', 'k']","['p', 'i', 'k']"
11096,IBM,140,"['i', 'p', 'm']","['i', 'p', 'm']"
11097,Project,140,"['pʰ', 'ʐ', 'o', 't͡ɕ', 'ɤ', 't͡sʰ', 'tʰ']","['p_h', 'z`', 'o', 'ts\\', '7', 'ts_h', 't_h']"
11147,Andrew,139,"['a', 'n', 't', 'ʐ', 'ɤ', 'u̯']","['a', 'n', 't', 'z`', '7', 'u_^']"
11148,GUNDAM,139,"['k', 'u̯', 'ə', 'n', 't', 'a', 'm']","['k', 'u_^', '@', 'n', 't', 'a', 'm']"
11149,Island,139,"['i', 's', 'l', 'a', 'n', 't']","['i', 's', 'l', 'a', 'n', 't']"
11222,Category,138,"['t͡sʰ', 'a', 'tʰ', 'ɤ', 'k', 'u̯', 'ɔ', 'ɻ', 'i̯']","['ts_h', 'a', 't_h', '7', 'k', 'u_^', 'O', 'r\\`', 'i_^']"
11285,Jack,137,"['t͡ɕ', 'a', 't͡sʰ', 'kʰ']","['ts\\', 'a', 'ts_h', 'k_h']"
11407,iPhone,135,"['i', 'pʰ', 'x', 'o', 'n', 'ɤ']","['i', 'p_h', 'x', 'o', 'n', '7']"
11478,Star,134,"['s', 'tʰ', 'ɑ', 'ɻ']","['s', 't_h', 'A', 'r\\`']"
11587,De,132,"['t', 'ɤ']","['t', '7']"
11588,FC,132,"['f', 't͡sʰ']","['f', 'ts_h']"
11589,MS,132,"['m', 's']","['m', 's']"
11590,News,132,"['n', 'ɤ', 'u̯', 's']","['n', '7', 'u_^', 's']"
11591,Retrieved,132,"['ʐ', 'ɤ', 'tʰ', 'ʐ̩', 'ɤ', 'v', 'ɤ', 't']","['z`', '7', 't_h', 'z`=', '7', 'v', '7', 't']"
11592,State,132,"['s', 'tʰ', 'a', 'tʰ', 'ɤ']","['s', 't_h', 'a', 't_h', '7']"
11657,Sir,131,"['s', 'z̩', 'ʐ']","['s', 'z=', 'z`']"
11658,THE,131,"['tʰ', 'x', 'ɤ']","['t_h', 'x', '7']"
11729,IP,130,"['i', 'pʰ']","['i', 'p_h']"
11730,Xbox,130,"['ɕ', 'p', 'u̯', 'ɔ', 'ɕ']","['s\\', 'p', 'u_^', 'O', 's\\']"
