cohort	entropy	cohort.p	cohort.size	nb.cont.segs	position	cohort.h	cohort.h.scaled	cohort.size.scaled	nb.cont.segs.scaled	entropy.scaled
a1	0.5513628339447418	1.4220797269606924e-4	5	2	3	12.77971002959459	1.322791643963247	-1.0557456121248703	-0.512938490589461	-0.6859455225779328
A1	0.9922364068236089	0.0038525432603116936	3	2	3	8.019973127769726	-0.5141343465983041	-1.433630441459612	-0.512938490589461	-0.012989181564998946
A2	0	1.9391996276736715e-5	1	1	3	15.654179147510732	2.4321359503139397	-2.2463322674717277	-1.3491575424748008	-1.5275544057756607
a2	0	5.17119900712979e-5	2	1	3	14.239141648231888	1.8860303117758173	-1.73357450465883	-1.3491575424748008	-1.5275544057756607
A3	0.13222253239594078	0.010588029967098248	1	1	3	6.561422006590879	-1.077033203892055	-2.2463322674717277	-1.3491575424748008	-1.3257278571358668
a3	1.0236061550403743	0.013050813494243809	16	2	3	6.259716452900414	-1.1934704743761224	-0.19530121622013696	-0.512938490589461	0.034894094451301774
ai	0.5929557200704705	1.7452796649063042e-4	3	2	3	12.48425414606842	1.2087663096416237	-1.433630441459612	-0.512938490589461	-0.6224574884084898
Ai	0.5897352853986262	6.463998758912238e-5	3	2	3	13.917213553344526	1.7617885528744301	-1.433630441459612	-0.512938490589461	-0.6273732104352917
au	1	3.2319993794561184e-4	4	2	3	11.595285458457163	0.8656864880568557	-1.2208167418459324	-0.512938490589461	-0.0011387110934277104
Au	0.863120568566631	4.524799131238566e-5	2	2	3	14.431786726174284	1.96037785617275	-1.73357450465883	-0.512938490589461	-0.21007362351250272
ba	0.05725349974570791	0.022494715681014587	119	1	3	5.474270057495797	-1.4965979218950094	1.2890390638446805	-1.3491575424748008	-1.4401617651883267
bA	1.763662871693437	0.00424684718460534	79	4	3	7.879392087909558	-0.5683888088145466	0.985980246226578	1.1594996131812185	1.164528281705539
be	0.5076027675296989	0.00485446306794309	61	2	3	7.686472550717616	-0.6428422753116374	0.7946993415679392	-0.512938490589461	-0.7527415747541913
bi	1.3501562306626131	0.004486015138685093	56	3	3	7.800349795653627	-0.5988936127550363	0.731434050222999	0.32328056129587873	0.5333452549807571
bI	0.042485629305209154	0.0019456636264325836	13	1	3	9.005521971472186	-0.13378133060054156	-0.3489030761737116	-1.3491575424748008	-1.462703674405738
bo	0.7006865745232977	0.008584190351835452	96	3	3	6.864102216884963	-0.9602197840358713	1.1301583726048765	0.32328056129587873	-0.45801542137016693
bu	1.2066088896907687	0.0046928630989702845	42	3	3	7.735315910236137	-0.6239921501016673	0.5186203506093198	0.32328056129587873	0.31423234079143186
bU	0.8892881527272397	4.8479990691841786e-4	9	2	3	11.010322957736006	0.6399318206787911	-0.6209286154474962	-0.512938490589461	-0.17013101235783137
ca	1.7318683569786129	0.002501567519699036	39	4	3	8.642951892087478	-0.27370805679551014	0.4637987498384043	1.1594996131812185	1.1159966354400261
cA	2.1266915171532608	0.004169279199498394	42	5	3	7.905986297921271	-0.5581253012769264	0.5186203506093198	1.9957186650665582	1.7186609037546459
Ca	1.4705075760633537	9.114238250066256e-4	29	3	3	10.099590295833094	0.28845262516666853	0.24463519937746042	0.32328056129587873	0.7170514374765699
CA	1.9937657426213773	3.4905593298126085e-4	20	5	3	11.48425414606842	0.8228361566835303	-0.03023008649907467	1.9957186650665582	1.515760915281387
ce	1.0324129048103439	9.695998138368356e-4	12	3	3	10.010322957736006	0.2540016677206977	-0.4081149158338166	0.32328056129587873	0.048336855519322416
cE	0.997511740585695	0.003910719249141903	44	2	3	7.998350316069931	-0.5224792416249898	0.5530336755307297	-0.512938490589461	-0.00493682931586364
Ce	1.5039397842013937	9.566718163190112e-4	23	3	3	10.029688282602939	0.26147533050867594	0.07315924106160168	0.32328056129587873	0.7680828846863572
ci	1.3246616386749386	0.005041919031951545	71	3	3	7.631811334482277	-0.663937686854217	0.9069983073905549	0.32328056129587873	0.4944299096412508
cI	0.6676194993151436	7.562878547927317e-4	9	2	3	10.368776928648483	0.39233986354338574	-0.6209286154474962	-0.512938490589461	-0.5084895239451311
Ci	1.7175772286266804	0.0014479357219963412	58	4	3	9.431786726174284	0.030727091382283224	0.7573929621903581	1.1594996131812185	1.094182432828918
CI	0.9975562489182658	1.034239801425958e-4	8	2	3	13.239141648231888	1.5001001588177238	-0.7080589790330346	-0.512938490589461	-0.004868891098483515
co	1.5007082241567942	0.003445311338500223	49	3	3	8.181149925472711	-0.45193136040749526	0.63265379104034	0.32328056129587873	0.7631501807159725
cO	1.0329624371582775	8.144638436229419e-4	16	3	3	10.261861724731972	0.35107806254234086	-0.19530121622013696	0.32328056129587873	0.04917567031994391
Co	1.7513642376354803	3.361279354634364e-4	20	4	3	11.538701930090795	0.8438491982995149	-0.03023008649907467	1.1594996131812185	1.1457554536563204
cu	0.756541284084099	0.0020426236078162673	26	2	3	8.935360900054786	-0.1608586036243627	0.16385468663918584	-0.512938490589461	-0.3727579160746421
Cu	0.7062740891876007	1.680639677317182e-4	12	2	3	12.538701930090795	1.2297793512576083	-0.4081149158338166	-0.512938490589461	-0.44948655129230775
CW	1.2754601784299986	7.498238560338196e-4	30	3	3	10.381160653104315	0.39711911621681584	0.26971397670014335	0.32328056129587873	0.41932802852209045
